동물병원명,주소,지번,영업시간,전화번호,평점,리뷰수,링크
24시분당리더스동물병원,경기 성남시 분당구 성남대로 45 2층,구미동 157,매일 00:00 ~ 24:00,031-711-8275,3.5,267,https://place.map.kakao.com/1217672073
해마루동물병원,경기 성남시 분당구 황새울로319번길 8-6 수의과학회관 1~4층,서현동 272-5,매일 00:00 ~ 24:00,031-781-2992,,200,https://place.map.kakao.com/8146003
KASMINE 동물심혈관신장센터,경기 성남시 분당구 미금로 43 정운빌딩 1층,구미동 204-1,월~토 10:00 ~ 19:00,031-716-9001,3.8,0,https://place.map.kakao.com/1621197027
동물병원돌봄,경기 성남시 분당구 서판교로 160 스타식스밸리 101호,판교동 497,,031-8016-5559,5,0,https://place.map.kakao.com/26930692
성남 시립동물병원,경기 성남시 수정구 탄리로 59 지하1층,수진동 587,월~금 10:00 ~ 18:00,,5,1,https://place.map.kakao.com/1038594988
휴동물의료센터,경기 성남시 수정구 산성대로 309 KR고려빌딩 2층,신흥동 2475,매일 00:00 ~ 24:00,031-735-7582,3.4,33,https://place.map.kakao.com/1705834650
24시 폴동물병원,경기 성남시 분당구 성남대로 385 분당클리닉빌딩 102호,정자동 15-2,매일 00:00 ~ 24:00,031-717-7558,,317,https://place.map.kakao.com/388711032
장재영외과동물병원,"경기 성남시 분당구 운중로 142 판교메디칼타워 201,202호",운중동 940,,031-8017-7511,3.9,19,https://place.map.kakao.com/424927623
고양이병원 소설,경기 성남시 수정구 창업로 17 아이스퀘어 F동 3층 311호,시흥동 288-2,매일 09:00 ~ 18:00,031-8039-5382,4.3,18,https://place.map.kakao.com/1196148640
우리동물병원,경기 성남시 분당구 백현로156번길 17-2,정자동 56-1,,031-719-5725,4.6,4,https://place.map.kakao.com/23771013
분당24시동물의료센터,경기 성남시 분당구 야탑로 24 분당빌딩 101호,야탑동 537-2,매일 00:00 ~ 24:00,031-605-5119,2.9,2,https://place.map.kakao.com/1876791908
우리들동물병원,경기 성남시 분당구 야탑로 103 노블리치2 오피스텔 2층 206호,야탑동 367-6,월~토 10:00 ~ 19:00 · 휴게시간 월~토 13:00 ~ 14:00,031-706-7588,5,2,https://place.map.kakao.com/8473348
신흥동물병원,경기 성남시 수정구 수정로 226,신흥동 3414,,031-732-2423,4.1,1,https://place.map.kakao.com/797520265
펫앤쉘터동물병원,경기 성남시 분당구 불정로 266,수내동 87-1,,,3,3,https://place.map.kakao.com/192628427
가나동물병원,경기 성남시 수정구 수정로 160,신흥동 5536,,031-721-7582,0,0,https://place.map.kakao.com/16936579
분당밝은아이동물병원,경기 성남시 중원구 성남대로997번길 51-16 1층,여수동 312,수~토 10:00 ~ 19:00 · 휴게시간 수~토 12:30 ~ 13:30,031-754-0201,5,11,https://place.map.kakao.com/1095598649
아프리카 동물종합병원,경기 성남시 분당구 서현로 170 풍림아이원플러스오피스텔 1층,서현1동 255-1,월~금 09:00 ~ 22:00,031-705-7776,3.3,34,https://place.map.kakao.com/13605383
분당데이지동물병원,경기 성남시 분당구 내정로 58 107호,정자동 117-1,월~토 08:00 ~ 18:00 · 휴게시간 월~토 12:30 ~ 13:30,031-715-3575,4.9,88,https://place.map.kakao.com/1862033603
이매동물병원,경기 성남시 분당구 성남대로779번길 17 포티스빌딩 1층,이매동 106-3,월~금 10:00 ~ 20:00,031-703-7582,4.9,1,https://place.map.kakao.com/1442641295
25시동물병원,경기 성남시 중원구 산성대로504번길 1,은행2동 1589,,031-731-0025,3.8,0,https://place.map.kakao.com/9574017
