동물병원명,주소,Latitude,Longitude,지번,영업시간,전화번호,평점,리뷰수,링크
24시분당리더스동물병원,경기 성남시 분당구 성남대로 45 2층,37.3400337,127.1083787,구미동 157,매일 00:00 ~ 24:00,031-711-8275,3.5,267,https://place.map.kakao.com/1217672073
해마루동물병원,경기 성남시 분당구 황새울로319번길 8-6 수의과학회관 1~4층,37.3857014,127.1211025,서현동 272-5,매일 00:00 ~ 24:00,031-781-2992,,200,https://place.map.kakao.com/8146003
KASMINE 동물심혈관신장센터,경기 성남시 분당구 미금로 43 정운빌딩 1층,37.3370941,127.115965,구미동 204-1,월~토 10:00 ~ 19:00,031-716-9001,3.8,0,https://place.map.kakao.com/1621197027
동물병원돌봄,경기 성남시 분당구 서판교로 160 스타식스밸리 101호,37.400335,127.0949906,판교동 497,,031-8016-5559,5,0,https://place.map.kakao.com/26930692
성남 시립동물병원,경기 성남시 수정구 탄리로 59 지하1층,37.4410282,127.1361005,수진동 587,월~금 10:00 ~ 18:00,,5,1,https://place.map.kakao.com/1038594988
휴동물의료센터,경기 성남시 수정구 산성대로 309 KR고려빌딩 2층,37.4425484,127.1509728,신흥동 2475,매일 00:00 ~ 24:00,031-735-7582,3.4,33,https://place.map.kakao.com/1705834650
24시 폴동물병원,경기 성남시 분당구 성남대로 385 분당클리닉빌딩 102호,37.3705055,127.1074624,정자동 15-2,매일 00:00 ~ 24:00,031-717-7558,,317,https://place.map.kakao.com/388711032
장재영외과동물병원,"경기 성남시 분당구 운중로 142 판교메디칼타워 201,202호",37.3912242,127.0788323,운중동 940,,031-8017-7511,3.9,19,https://place.map.kakao.com/424927623
고양이병원 소설,경기 성남시 수정구 창업로 17 아이스퀘어 F동 3층 311호,37.4120603,127.0980886,시흥동 288-2,매일 09:00 ~ 18:00,031-8039-5382,4.3,18,https://place.map.kakao.com/1196148640
우리동물병원,경기 성남시 분당구 백현로156번길 17-2,37.3713126,127.1139713,정자동 56-1,,031-719-5725,4.6,4,https://place.map.kakao.com/23771013
분당24시동물의료센터,경기 성남시 분당구 야탑로 24 분당빌딩 101호,37.4085396,127.121617,야탑동 537-2,매일 00:00 ~ 24:00,031-605-5119,2.9,2,https://place.map.kakao.com/1876791908
우리들동물병원,경기 성남시 분당구 야탑로 103 노블리치2 오피스텔 2층 206호,37.4101358,127.1301618,야탑동 367-6,월~토 10:00 ~ 19:00 · 휴게시간 월~토 13:00 ~ 14:00,031-706-7588,5,2,https://place.map.kakao.com/8473348
